paper_id,fluid,channel_type,D_h_mm,G_kg_m2s,P_kPa,delta_T_sub_K,Ra_um,theta_deg,surface_cat,q_onb_W_m2,delta_T_onb_K,source_fig,digitize_date,notes
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.0521199133051344,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.50°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.280467183946202,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.49°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.163670455465314,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.30°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.2533023337389424,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.80°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.4746634041976217,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.89°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.701809977426418,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.02°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.9157694965118055,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.99°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.931857801796873,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.52°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.76496143114529,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.52°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.846332067092649,fig10,2026-05-28,parity ΔT_ONB; x=predicted(4.03°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,3.2571185847630395,fig10,2026-05-28,parity ΔT_ONB; x=predicted(4.01°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,3.7913575147831327,fig10,2026-05-28,parity ΔT_ONB; x=predicted(5.04°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,57.0,zr_rod,-1.0,2.17463961974766,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.31°C); series=Pres_theta57_water-Zr_rod
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,1.548903546769516,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.50°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,1.6421108435968264,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.70°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,2.474831223638936,fig10,2026-05-28,parity ΔT_ONB; x=predicted(2.80°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,2.5621426876499407,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.50°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,3.1825721487314342,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.52°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,3.1626866917590695,fig10,2026-05-28,parity ΔT_ONB; x=predicted(4.23°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,3.5760882687203908,fig10,2026-05-28,parity ΔT_ONB; x=predicted(4.70°C); series=Pres_theta80to85_water-Cu_flat
basu2002,water,tube_circular,9.5,-1.0,101.325,-1.0,-1,82.5,copper_flat,-1.0,3.393559400206445,fig10,2026-05-28,parity ΔT_ONB; x=predicted(3.99°C); series=Pres_theta80to85_water-Cu_flat
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,9043.506883594777,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=0.904 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,9755.427135003953,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=0.976 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,12659.334755864593,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=1.266 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,13075.947613058881,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=1.308 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,71100.64533413162,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=7.110 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,84549.31510038568,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=8.455 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,105108.5315692381,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=10.511 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,103996.03444145819,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=10.400 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,99568.71299232438,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=9.957 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,145564.58343017357,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=14.556 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,haynes_rod,55912.27089955129,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=5.591 W/cm²→×10000; series=Past_theta04_R11-Haynes
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,236764.9110435156,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=23.676 W/cm²→×10000; series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,210153.8819948096,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=21.015 W/cm²→×10000; series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,224376.6216201569,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=22.438 W/cm²→×10000; series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,236873.2717095032,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=23.687 W/cm²→×10000; series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,174629.892652315,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=17.463 W/cm²→×10000; series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,167218.04750761058,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=16.722 W/cm²→×10000; series=Past_theta04_R11-SS
basu2002,R-11,tube_circular,9.5,-1.0,101.325,-1.0,-1,4.0,ss_rod,163648.55923515788,-1.0,fig11,2026-05-28,parity q''_ONB; y_raw=16.365 W/cm²→×10000; series=Past_theta04_R11-SS
